loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_roc_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,3.5398230088495577,400,0.24624590575695038,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9964000000000001,195.4774,0.512,0.067,,,,,
0.0002,0.01002349890768528,6.0194174757281556e-06,3.6283185840707963,410,,,,,,,,,,,,,,
,,,3.6283185840707963,410,0.2473745197057724,0.97,0.9716981132075472,0.97,0.9699729756781104,0.9964000000000001,195.9047,0.51,0.066,,,,,
0.0034,0.3109767436981201,5.631067961165049e-06,3.7168141592920354,420,,,,,,,,,,,,,,
,,,3.7168141592920354,420,0.20183856785297394,0.96,0.9607371794871794,0.96,0.959983993597439,0.9972000000000001,195.5341,0.511,0.066,,,,,
0.0003,0.005736380349844694,5.242718446601942e-06,3.8053097345132745,430,,,,,,,,,,,,,,
,,,3.8053097345132745,430,0.20309773087501526,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.8912,0.51,0.066,,,,,
0.0002,0.021129554137587547,4.854368932038836e-06,3.893805309734513,440,,,,,,,,,,,,,,
,,,3.893805309734513,440,0.20647506415843964,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.1545,0.512,0.067,,,,,
0.0003,0.004703006707131863,4.466019417475729e-06,3.982300884955752,450,,,,,,,,,,,,,,
,,,3.982300884955752,450,0.20772144198417664,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,196.1538,0.51,0.066,,,,,
0.0003,0.00395420053973794,4.0776699029126215e-06,4.070796460176991,460,,,,,,,,,,,,,,
,,,4.070796460176991,460,0.20887158811092377,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.8081,0.511,0.066,,,,,
0.0002,0.0038200055714696646,3.689320388349515e-06,4.15929203539823,470,,,,,,,,,,,,,,
,,,4.15929203539823,470,0.20969940721988678,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.1756,0.512,0.067,,,,,
0.0001,0.0038701475132256746,3.300970873786408e-06,4.247787610619469,480,,,,,,,,,,,,,,
,,,4.247787610619469,480,0.2101927250623703,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.6112,0.511,0.066,,,,,
0.0002,0.007420888636261225,2.912621359223301e-06,4.336283185840708,490,,,,,,,,,,,,,,
,,,4.336283185840708,490,0.2106061577796936,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.2346,0.512,0.067,,,,,
0.0008,0.0034813086967915297,2.5242718446601945e-06,4.424778761061947,500,,,,,,,,,,,,,,
,,,4.424778761061947,500,0.21092060208320618,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.4845,0.512,0.067,,,,,
0.0001,0.0031264210119843483,2.1359223300970874e-06,4.513274336283186,510,,,,,,,,,,,,,,
,,,4.513274336283186,510,0.21103660762310028,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.6629,0.511,0.066,,,,,
0.0233,0.0032705310732126236,1.7475728155339808e-06,4.601769911504425,520,,,,,,,,,,,,,,
,,,4.601769911504425,520,0.2088194638490677,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.5005,0.512,0.066,,,,,
0.0002,0.006165644619613886,1.359223300970874e-06,4.6902654867256635,530,,,,,,,,,,,,,,
,,,4.6902654867256635,530,0.20542973279953003,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.6544,0.511,0.066,,,,,
0.0002,0.004586400929838419,9.70873786407767e-07,4.778761061946903,540,,,,,,,,,,,,,,
,,,4.778761061946903,540,0.2043348252773285,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.3549,0.512,0.067,,,,,
0.0001,0.004074084106832743,5.825242718446603e-07,4.867256637168142,550,,,,,,,,,,,,,,
,,,4.867256637168142,550,0.20410233736038208,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,195.6282,0.511,0.066,,,,,
0.0002,0.005117895547300577,1.941747572815534e-07,4.95575221238938,560,,,,,,,,,,,,,,
,,,4.95575221238938,560,0.20412388443946838,0.97,0.970188075230092,0.97,0.96999699969997,0.9972000000000001,196.7795,0.508,0.066,,,,,
,,,5.0,565,,,,,,,,,,40269.1322,0.112,0.014,4193691134976000.0,0.08259295654695366
